ID,restaurant_name,address1,city,zip_code,country,state,rating,review_count,price
32,chili cha cha 2,3166 24th St,San Francisco,94110,US,CA,4,450,$$
33,china express & donut,2798 Mission St,San Francisco,94110,US,CA,3.4,14,
34,chome,3601 26th St,San Francisco,94110,US,CA,4.5,379,$$$
35,chuck's takeaway,3332 18th St,San Francisco,94110,US,CA,3.9,71,$$
36,chuy's fiestas,2341 C Folsom St,San Francisco,94110,US,CA,4.5,265,$$
37,cocina mamá cholita,3471 Mission St,San Francisco,94110,US,CA,4.9,169,$$
38,coco's ramen,3319 Mission St,San Francisco,94110,US,CA,3.8,567,$$
39,craftsman and wolves,746 Valencia St,San Francisco,94110,US,CA,4.1,1810,$$
40,cuisine of nepal,3486 Mission St,San Francisco,94110,US,CA,4.7,739,$$
41,deccan house,1142 Valencia St,San Francisco,94110,US,CA,3.8,736,$$
42,destapas,2708 24th St,San Francisco,94110,US,CA,4.6,153,$$$
43,district tea,2154 Mission St,San Francisco,94110,US,CA,4.3,449,$
44,dumpling story,694 Valencia St,San Francisco,94110,US,CA,4.5,32,
45,echigo home cook,870 Valencia St,San Francisco,94110,US,CA,4.6,46,
46,el buen comer,3435 Mission St,San Francisco,94110,US,CA,4.3,393,$$
47,el fuego,1525 Cortland Ave,San Francisco,94110,US,CA,4.7,204,
48,el jacal mexican grill,800 Cortland Ave,San Francisco,94110,US,CA,3.9,18,
49,el rey taquiza artesanal,2491 Mission St,San Francisco,94110,US,CA,4.6,99,
50,el techo,2516 Mission St,San Francisco,94110,US,CA,3.9,2799,$$
51,el tomate restaurant,2904 24th St,San Francisco,94110,US,CA,4.2,94,$$
52,emmy's spaghetti shack,3230 Mission St,San Francisco,94110,US,CA,4.2,799,$$
53,ernest,1890 Bryant St,San Francisco,94110,US,CA,4.3,491,$$$
54,esperpento,3295 22nd St,San Francisco,94110,US,CA,3.7,1434,$$
55,etcetera wine bar,795 Valencia St,San Francisco,94110,US,CA,4.1,473,$$
56,flour + water,2401 Harrison St,San Francisco,94110,US,CA,3.8,2663,$$$
57,foliage,300 Precita Ave,San Francisco,94110,US,CA,4.2,330,$$$$
58,foreign cinema,2534 Mission St,San Francisco,94110,US,CA,4,5607,$$$
59,fort point valencia,,,,,,,,
60,four chairs,3282 Mission St,San Francisco,94110,US,CA,4.3,562,$$
61,frisco flavor,3331 24th St,San Francisco,94110,US,CA,3.9,10,
62,fumi japanese curry & ramen,3303 Mission St,San Francisco,94110,US,CA,4.1,519,$$
63,go duck yourself,439 Cortland Ave,San Francisco,94110,US,CA,4.3,33,
64,good good culture club,3560 18th St,San Francisco,94110,US,CA,4.2,414,$$$
65,gyros and tzatziki,3111 24th St,San Francisco,94110,US,CA,4.3,139,
66,handroll project,598 Guerrero St,San Francisco,94110,US,CA,4,286,$$$$
67,healthyish republic,2990 24th St,San Francisco,94110,US,CA,4.6,147,$$
68,heirloom cafe,2500 Folsom St,San Francisco,94110,US,CA,4.2,519,$$$
69,indochine vegan,508 Valencia St,San Francisco,94110,US,CA,3.7,453,$$
70,j & e restaurant,2537 24th St,San Francisco,94110,US,CA,3.7,123,$
71,jake's steaks,581 Valencia St,San Francisco,94110,US,CA,4.2,143,$$
72,kahnfections,3321 20th St,San Francisco,94110,US,CA,4.6,260,$
73,kazan,2809 24th St,San Francisco,94110,US,CA,4.3,626,$$
74,kitava,2011 Mission St,San Francisco,94110,US,CA,4.4,624,$$
75,kiwa kitchen,615 Cortland Ave,San Francisco,94110,US,CA,4.9,21,
76,ko,2193 Mission St,San Francisco,94110,US,CA,4.6,51,
77,krispy krunchy chicken,599 S Van Ness Ave,San Francisco,94110,US,CA,3.8,71,$
78,la espiga de oro,2916 24th St,San Francisco,94110,US,CA,4.1,214,$
79,la oaxaqueña,2128 Mission St,San Francisco,94110,US,CA,4,591,$
80,la palma mexicatessen,2884 24th St,San Francisco,94110,US,CA,4.2,736,$$
81,la taqueria,2889 Mission St,San Francisco,94110,US,CA,4.1,4697,$$
82,la vaca birria,2962 24th St,San Francisco,94110,US,CA,4.4,163,$$
83,lazy bear,3416 19th St,San Francisco,94110,US,CA,4.5,814,$$$$
84,loltún restaurant,2471 Mission St,San Francisco,94110,US,CA,4.3,22,
85,los yaquis,3214 Folsom St,San Francisco,94110,US,CA,4.3,101,
86,lost resort,2736 20th St,San Francisco,94110,US,CA,4.4,212,$$
87,luisa's restaurant,1001 Guerrero St,San Francisco,94110,US,CA,4.7,110,
88,mi yucatan,2845 Mission St,San Francisco,94110,US,CA,3.9,61,$$
89,mission bowling club,3176 17th St,San Francisco,94110,US,CA,4,672,$$
90,mission curry house,2434 Mission St,San Francisco,94110,US,CA,4.4,237,$$
91,moki's sushi & pacific grill,615 Cortland Ave,San Francisco,94110,US,CA,3.9,511,$$
92,noeteca wine bar,1551 Dolores St,San Francisco,94110,US,CA,4.3,518,$$
93,nonna's ristorante italiano,2020 Mission St,San Francisco,94110,US,CA,2,17,
94,noodle girl,2948 Folsom St,San Francisco,94110,US,CA,3.8,9,
95,nute's,903 Cortland Ave,San Francisco,94110,US,CA,4.3,372,$$
96,old jerusalem restaurant,2966 Mission St,San Francisco,94110,US,CA,4.2,1238,$$
97,penny roma,3000 20th St,San Francisco,94110,US,CA,3.9,345,
98,petra mediterranean,680 Valencia St,San Francisco,94110,US,CA,3.9,20,
99,pho day,59 30th St,San Francisco,94110,US,CA,4.1,138,$$
100,piglet & co,2170 Mission St,San Francisco,94110,US,CA,4.2,135,
101,pinche sushi,564 S Van Ness Ave,San Francisco,94110,US,CA,4.6,37,
102,precita park cafe,500 Precita Ave,San Francisco,94110,US,CA,3.5,487,$$
103,prubechu,2224 Mission St,San Francisco,94110,US,CA,4.4,649,$$
104,puerto alegre,546 Valencia St,San Francisco,94110,US,CA,3.8,1143,$$
105,punjab restaurant,2838 24th St,San Francisco,94110,US,CA,3.9,258,$
106,quik dog,3010 20th St,San Francisco,94110,US,CA,4.3,7,
107,ramenwell,3378 18th St,San Francisco,94110,US,CA,4.1,468,$$
108,rasa rasa kitchen,2200 Bryant St,San Francisco,94110,US,CA,4.3,46,
109,raw sugar factory,525 Valencia St,San Francisco,94110,US,CA,3.9,797,$$
110,regalito rosticeria,3481 18th St,San Francisco,94110,US,CA,3.7,748,$$
111,rite spot cafe,2099 Folsom St,San Francisco,94110,US,CA,3.6,155,$
112,robin's cafe,3153 17th St,San Francisco,94110,US,CA,4.2,94,$$
113,rosamunde sausage grill,2832 Mission St,San Francisco,94110,US,CA,3.8,1004,$$
114,sake bomb,2878 24th St,San Francisco,94110,US,CA,4.3,190,$$
115,san ho won,2170 Bryant St,San Francisco,94110,US,CA,4.5,605,$$$$
116,sanjalisco mexican restaurant,901 S Van Ness Ave,San Francisco,94110,US,CA,4.2,1009,$$
117,seafood station,803 Cortland Ave,San Francisco,94110,US,CA,4.5,155,$$
118,señor sisig,990 Valencia St,San Francisco,94110,US,CA,4.1,534,$$
119,sidewalk juice,3287 21st St,San Francisco,94110,US,CA,4.1,348,$
120,stable cafe,2128 Folsom St,San Francisco,94110,US,CA,4,656,$$
121,stonemill matcha,561 Valencia St,San Francisco,94110,US,CA,4.2,1389,$$
122,sushi hon,2598 Harrison St,San Francisco,94110,US,CA,4.3,527,$$$$
123,sweet basil thai cuisine,3221 Mission St,San Francisco,94110,US,CA,3.4,408,$$
124,taco los altos,737 Cortland Ave,San Francisco,94110,US,CA,3.8,268,$
125,tacolicious,741 Valencia St,San Francisco,94110,US,CA,3.7,1653,$$
126,tacos del barrio,2817 24th St,San Francisco,94110,US,CA,4.4,98,$$
127,tacos el patrón,1500 S Van Ness Ave,San Francisco,94110,US,CA,4.2,882,$$
128,tadka indian restaurant,3066 24th St,San Francisco,94110,US,CA,4.4,123,$$
129,taishoken san francisco,665 Valencia St,San Francisco,94110,US,CA,4.5,383,$$
130,taqueria cancún,2288 Mission St,San Francisco,94110,US,CA,4,2190,$$
131,taqueria el buen sabor,699 Valencia St,San Francisco,94110,US,CA,4.1,716,$$
132,taqueria vallarta,3033 24th St,San Francisco,94110,US,CA,4,942,$$
133,tartine bakery,600 Guerrero St,San Francisco,94110,US,CA,4.2,8842,$$
134,thanh tam ii,577 Valencia St,San Francisco,94110,US,CA,3.6,495,$$
135,the front porch,65 29th St,San Francisco,94110,US,CA,3.9,3253,$$
136,the liberties,998 Guerrero St,San Francisco,94110,US,CA,3.5,357,$$
137,the morris,2501 Mariposa St,San Francisco,94110,US,CA,4.5,417,$$$
138,the spice jar,2500 Bryant St,San Francisco,94110,US,CA,4.2,465,$$
139,the sycamore,2140 Mission St,San Francisco,94110,US,CA,3.9,816,$$
140,tinto,1152 Valencia St,San Francisco,94110,US,CA,4.9,14,
141,true laurel,753 Alabama St,San Francisco,94110,US,CA,4.2,395,$$
142,udupi palace,1007 1/2 Valencia St,San Francisco,94110,US,CA,3.9,1526,$$
143,united dumplings,525 Cortland Ave,San Francisco,94110,US,CA,4.3,450,$$
144,valencia pizza & pasta,801 Valencia St,San Francisco,94110,US,CA,3.9,493,$$
145,vega,419 Cortland Ave,San Francisco,94110,US,CA,4.1,729,$$
146,vegan mob,701 Valencia St,San Francisco,94110,US,CA,3.8,58,$$
147,wesburger 'n' more,2240 Mission St,San Francisco,94110,US,CA,3.9,761,$$
148,wok & go,2700 24th St,San Francisco,94110,US,CA,3,203,$
149,yasmin,799 Valencia St,San Francisco,94110,US,CA,4.2,160,$$
150,yucatasia,2164 Mission St,San Francisco,94110,US,CA,4,80,$
